 payload_B   ring_MiB |     peak_pkt/s    peak_MB/s
       512          8 |       10084635      5163.33
      4096          8 |        6592925     27004.62
     16384          8 |        1611369     26400.67
     65536          8 |         342785     22464.76
    262144          8 |          83461     21878.80
       512         64 |        9496550      4862.23
      4096         64 |        3216434     13174.51
     16384         64 |         955049     15647.52
     65536         64 |         194574     12751.60
    262144         64 |          47458     12440.83
       512        256 |        9357650      4791.12
      4096        256 |        3524223     14435.22
     16384        256 |         937465     15359.43
     65536        256 |         195378     12804.28
    262144        256 |          47299     12399.15
